time,step,surface,force_density,force_units,moment_units,lift,drag,lift_coefficient,drag_coefficient,panel_count,rotational_power,translational_power,power,force_x,force_y,force_z,moment_x,moment_y,moment_z,rotation_centre_x,rotation_centre_y,rotation_centre_z,translation_velocity_x,translation_velocity_y,translation_velocity_z,angular_velocity_x,angular_velocity_y,angular_velocity_z,position_x,position_y,position_z,centroid_x,centroid_y,centroid_z
0.105,21,wing_0,1.0,N,N*m,1.3462173986716026,0.021389629338911687,0.16827717483395035,0.0026737036673639613,4,-0.10733213010321375,0.0,-0.10733213010321375,0.021389629338911687,-0.04241987936145131,1.3462173986716026,-0.3577737670107125,-0.2805835765102077,-0.023891412366825668,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.49726094768413664,0.0016460510492575244,-0.05223830418588958
0.105,21,wing_1,1.0,N,N*m,1.1965691258867273,0.027676508786758442,0.14957114073584094,0.0034595635983448057,4,-0.10465770543710576,0.0,-0.10465770543710576,0.027676508786758442,-0.037704399020424675,1.1965691258867273,-0.34885901812368586,-2.139781574675313,-0.07633950938143401,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,2.097260947684137,-0.0030781675926334355,0.09768728321740715
0.11,22,wing_0,1.0,N,N*m,1.3457334383987907,0.021489512747012635,0.16821667979984886,0.0026861890933765798,4,-0.10732209058148542,0.0,-0.10732209058148542,0.021489512747012635,-0.04442533103322287,1.3457334383987907,-0.35774030193828477,-0.28099641298374234,-0.02428409488841552,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.49726094768413664,0.0017244066243452818,-0.0522357763421604
0.11,22,wing_1,1.0,N,N*m,1.1941741427648023,0.027718703752007676,0.1492717678456003,0.00346483796900096,4,-0.10461939784700017,0.0,-0.10461939784700017,0.027718703752007676,-0.03942205795730577,1.1941741427648023,-0.34873132615666724,-2.1353662963562945,-0.07932688664552198,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,2.097260947684137,-0.0032246949995725365,0.09768255606957664
0.115,23,wing_0,1.0,N,N*m,1.3452721131779384,0.021589486337320662,0.16815901414724232,0.0026986857921650832,4,-0.10731237295131303,0.0,-0.10731237295131303,0.021589486337320662,-0.04643031059225633,1.3452721131779384,-0.3577079098377101,-0.28141744834278615,-0.024679023650805626,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.49726094768413664,0.0018027583195187882,-0.05223313096795649
0.115,23,wing_1,1.0,N,N*m,1.1917835364157179,0.027760866562173216,0.14897294205196476,0.0034701083202716525,4,-0.10458113379263811,0.0,-0.10458113379263811,0.027760866562173216,-0.04113285276077101,1.1917835364157179,-0.3486037793087937,-2.1309617356428734,-0.08230181641687376,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,2.097260947684137,-0.003371215150949292,0.09767760913603622
0.12,24,wing_0,1.0,N,N*m,1.344833178916672,0.02168954267697604,0.16810414736458404,0.0027111928346220055,4,-0.10730297557815942,0.0,-0.10730297557815942,0.02168954267697604,-0.0484349201345452,1.344833178916672,-0.3576765852605314,-0.2818464926510324,-0.025076227742297917,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.49726094768413664,0.0018811059584868675,-0.05223036806922995
0.12,24,wing_1,1.0,N,N*m,1.1893972039531955,0.02780298104582709,0.14867465049414946,0.0034753726307283866,4,-0.10454291150023201,0.0,-0.10454291150023201,0.02780298104582709,-0.042836806441770486,1.1893972039531955,-0.34847637166744005,-2.126567630008418,-0.08526435171455352,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,2.097260947684137,-0.003517727717093328,0.09767244242791641
0.125,25,wing_0,1.0,N,N*m,1.3444163836913408,0.021789673841140653,0.16805204796141762,0.002723709230142582,4,-0.10729389671466179,0.0,-0.10729389671466179,0.021789673841140653,-0.050439260008420174,1.3444163836913408,-0.35764632238220595,-0.2822833528124382,-0.02547573492731304,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.49726094768413664,0.001959449364967309,-0.05222748765219728
0.125,25,wing_1,1.0,N,N*m,1.1870150434909235,0.027845031043507194,0.14837688043636546,0.0034806288804383996,4,-0.10450472921515384,0.0,-0.10450472921515384,0.027845031043507194,-0.044533941373248453,1.1870150434909235,-0.3483490973838462,-2.122183720099842,-0.08821454401823892,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,2.097260947684137,-0.0036642323683515614,0.09766705595684236
